air_pollution_index,wind_direction,temperature,rain_p_h,weather_description,traffic_volume,time,Month,day
0.38408304498269896,0.913888888888889,0.9352452634310926,0.0,24,5545,8,10,1
0.5813148788927336,0.9166666666666667,0.9387490267324163,0.0,2,4516,9,10,1
0.356401384083045,0.913888888888889,0.939462756293797,0.0,19,4767,10,10,1
0.03460207612456748,0.913888888888889,0.9412470801972489,0.0,19,5026,11,10,1
0.9377162629757786,0.913888888888889,0.9445237477290422,0.0,2,4918,12,10,1
0.04498269896193771,0.9111111111111111,0.9464053983908643,0.0,27,5181,13,10,1
0.6020761245674741,0.9111111111111111,0.9511095250454192,0.0,27,5584,14,10,1
0.5432525951557093,0.9083333333333333,0.9533480404879315,0.0,27,6015,15,10,1
0.3771626297577855,0.9083333333333333,0.9542564235660524,0.0,4,5791,16,10,1
0.5224913494809689,0.9055555555555556,0.9508824292758891,0.0,4,4770,17,10,1
0.8062283737024222,0.9055555555555556,0.9439722294316119,0.0,4,3539,18,10,1
0.48442906574394473,0.9055555555555556,0.9388139112379964,0.0,27,2784,19,10,1
0.40830449826989623,0.9027777777777778,0.9363158577731638,0.0,27,2361,20,10,1
0.02768166089965398,0.9027777777777778,0.931611731118609,0.0,27,1529,21,10,1
0.6089965397923875,0.9,0.9260641058915131,0.0,27,963,22,10,1
0.5121107266435987,0.9,0.9196405398390866,0.0,27,321,0,10,2
0.5397923875432526,0.8972222222222223,0.9122112639501687,0.0,27,273,1,10,2
0.31487889273356406,0.8972222222222223,0.9119192836750584,0.0,27,367,2,10,2
0.5224913494809689,0.8944444444444445,0.9068582922398131,0.0,27,814,3,10,2
0.5847750865051904,0.8944444444444445,0.9039060472359202,0.0,27,2718,4,10,2
0.28719723183391,0.8944444444444445,0.9026407993771088,0.0,27,5673,5,10,2
0.16262975778546712,0.8916666666666667,0.9022839345964184,0.0,27,6511,7,10,2
0.7474048442906575,0.8916666666666667,0.9164287568128732,0.0,27,5471,8,10,2
0.26297577854671284,0.888888888888889,0.9472164547106152,0.0,27,5097,11,10,2
0.1453287197231834,0.888888888888889,0.9513041785621594,0.0,27,4887,12,10,2
0.9100346020761246,0.888888888888889,0.9548079418634831,0.0,27,5337,13,10,2
0.21453287197231835,0.9722222222222222,0.957597975603426,0.0,27,5692,14,10,2
0.8442906574394464,0.888888888888889,0.9574682065922658,0.0,27,6137,15,10,2
0.4117647058823529,0.9166666666666667,0.9526991954321309,0.0,4,4623,17,10,2
0.9031141868512111,0.9166666666666667,0.9429340773423306,0.0,4,3591,18,10,2
0.8615916955017302,0.888888888888889,0.9349532831559824,0.0,4,2898,19,10,2
0.17647058823529413,0.9444444444444445,0.9314170776018688,0.0,27,2637,20,10,2
0.9550173010380624,0.9444444444444445,0.9286594861147158,0.0,27,1777,21,10,2
0.4878892733564014,0.9444444444444445,0.9254477030885024,0.0,27,1015,22,10,2
0.7750865051903114,0.9722222222222222,0.9196405398390866,0.0,27,369,0,10,3
0.5259515570934257,0.9166666666666667,0.9186672722553855,0.0,27,312,1,10,3
0.1903114186851211,0.9444444444444445,0.9150012976901117,0.0,27,367,2,10,3
0.02768166089965398,0.9444444444444445,0.9138658188424604,0.0,27,835,3,10,3
0.8304498269896194,0.9722222222222222,0.9126654554892292,0.0,27,2726,4,10,3
0.5640138408304499,0.9444444444444445,0.9107838048274073,0.0,27,5689,5,10,3
0.45674740484429066,0.9722222222222222,0.9102322865299767,0.0,27,6990,6,10,3
0.2768166089965398,1.0,0.914417337139891,0.0,27,5985,7,10,3
0.46366782006920415,0.0,0.9245393200103816,0.0,27,5309,8,10,3
0.46020761245674746,0.0,0.9381650661821958,0.0,27,4603,9,10,3
0.17647058823529413,0.888888888888889,0.9458538800934337,0.0,27,4884,10,10,3
0.6955017301038062,0.0,0.9569491305476253,0.0,27,5104,11,10,3
0.6816608996539792,0.0,0.96152348819102,0.0,27,5178,12,10,3
0.3633217993079585,0.0,0.9645730599532831,0.0,27,5501,13,10,3
0.8408304498269896,0.0,0.9673306514404361,0.0,27,5713,14,10,3
0.8027681660899655,0.17500000000000002,0.9669737866597456,0.0,4,6292,15,10,3
0.04498269896193771,0.35000000000000003,0.9657085388009344,0.0,4,6057,16,10,3
0.7750865051903114,0.5277777777777778,0.96145860368544,0.0,24,4907,17,10,3
0.726643598615917,0.47222222222222227,0.9533155982351416,0.0,24,3503,18,10,3
